extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary124348,"Data availability announcements: Elementary and secondary school enrolments in Canada, 1992-93  secondary school graduates, 1992-93  second language or minority language instruction at the elementary and secondary levels, 1992-93",article81-003-x19950032518_12,,Do not load to OLC,81-003-X19950032518,
primary128312,University enrolment trends,article81-003-x19950011772_12,,Do not load to OLC,81-003-X19950011772,
primary123435,The impact of family structure on high school completion,article11-008-x19970043554_12,,Do not load to OLC,11-008-X19970043554,
primary123378,Education of women in Canada,article11-008-x19950032478_12,,Do not load to OLC,11-008-X19950032478,
primary123363,Visible minorities: A diverse group,article11-008-x19950012354_12,,Do not load to OLC,11-008-X19950012354,
primary125747,"Teenage pregnancies, Canada, 1975-1989",article82-003-s19910042032_12,,Do not load to OLC,82-003-S19910042032,
primary127702,Changing camping trends in B.C.,article87-003-x19890032114_12,,Do not load to OLC,87-003-X19890032114,
primary127789,How well does the tourism industry know the Canadian business traveller?,article87-003-x19950042512_12,,Do not load to OLC,87-003-X19950042512,
primary123123,Passenger traffic on commercial air services,article11-008-x19870041363_12,,Do not load to OLC,11-008-X19870041363,
primary127629,Culture on the go,article87-004-x19970013067_12,,Do not load to OLC,87-004-X19970013067,
primary123326,Adoption in Canada,article11-008-x19930041419_12,,Do not load to OLC,11-008-X19930041419,
primary123829,"Brain drain and brain gain: Part II, The migration of knowledge workers to Canada",article11-010-x20000065094_12,,Do not load to OLC,11-010-X20000065094,
primary123073,French immersion,article11-008-x19860022443_12,,Do not load to OLC,11-008-X19860022443,
primary125705,The health of the elderly and the extent of family mutual aid,article82-003-s19900031973_12,,Do not load to OLC,82-003-S19900031973,
primary124827,"Human Resource Challenges of Education, Computers and  Retirement",issue11-612-m1992007_12,Completed,Do not load to OLC,11-612-M1992007,
primary123422,The leisurely pursuit of reading,article11-008-x19970023181_12,,Do not load to OLC,11-008-X19970023181,
primary124606,A trend to a healthier lifestyle,article82-003-s19910042034_12,,Do not load to OLC,82-003-S19910042034,
primary125888,Prevention of stroke in atrial fibrillation: An update,article82-003-x19940011755_12,,Do not load to OLC,82-003-X19940011755,
primary127691,1988 domestic summer travel reaches a record high,article87-003-x19890022104_12,,Do not load to OLC,87-003-X19890022104,
primary127751,Travel by B.C. residents,article87-003-x19910022149_12,,Do not load to OLC,87-003-X19910022149,
primary127787,Canadian's participation in leisure travel is on the rise,article87-003-x19950031808_12,,Do not load to OLC,87-003-X19950031808,
primary127148,Provincial overview of domestic travel in 1994,article87-003-x19960022881_12,,Do not load to OLC,87-003-X19960022881,
primary127849,Culturally active Canadians,article87-004-x19940042379_12,,Do not load to OLC,87-004-X19940042379,
primary123291,Lone parenthood: Gender differences,article11-008-x19920031279_12,,Do not load to OLC,11-008-X19920031279,
primary127840,Where culture meets the bottom line . . . Change in format produces rapid growth in revenues in the record industry,article87-004-x19940032583_12,,Do not load to OLC,87-004-X19940032583,
primary123322,"Trends in health status and practices, Canada and the United States",article11-008-x19930031399_12,,Do not load to OLC,11-008-X19930031399,
primary123827,"Brain drain and brain gain: Part 1, The emigration of knowledge workers from Canada",article11-010-x20000055063_12,,Do not load to OLC,11-010-X20000055063,
primary127915,The gift and the giver: individual giving to culture organizations in Canada,article87-004-x19990024797_12,,Do not load to OLC,87-004-X19990024797,
primary129088,Survey insights - The education component of the National Longitudinal Survey of Children and Youth,article81-003-x19960023183_12,,Do not load to OLC,81-003-X19960023183,
primary128906,The increase in tuition fees: How to make ends meet?,article81-003-x19940011793_12,,Do not load to OLC,81-003-X19940011793,
primary123250,French immersion programs,article11-008-x19910021370_12,,Do not load to OLC,11-008-X19910021370,
primary129781,Gender inequalities in care-giving in Canada,article82-003-s19920022398_12,,Do not load to OLC,82-003-S19920022398,
primary131890,Gender inequalities in care-giving in Canada,article82-003-x199200213268_12,,Do not load to OLC,82-003-X199200213268,
primary131519,"Residential care facilities, 1987-88",article82-003-s19900021963_12,,Do not load to OLC,82-003-S19900021963,
primary124956,POHEM - A Framework for Understanding and Modelling the Health of Human Populations,issue11f0019m1992044_12,Completed,Do not load to OLC,11F0019M1992044,
primary126733,1988 domestic travel results now available,article87-003-x19890032116_12,,Do not load to OLC,87-003-X19890032116,
primary127711,Profiles - A valuable research tool,article87-003-x19890042121_12,,Do not load to OLC,87-003-X19890042121,
primary125238,Legal Aid in Canada,publication85-216-x_12,Discontinued/Not available,Do not load to OLC,85-216-X,
primary124943,Smoothing Procedures for Simulated Longitudinal Microdata,issue11f0019m1990032_12,Completed,Do not load to OLC,11F0019M1990032,
primary124961,Development of Longitudinal Panel Data from Business Registers: Canadian Experience,issue11f0019m1992049_12,Completed,Do not load to OLC,11F0019M1992049,
primary123397,Children in low-income families,article11-008-x19960022811_12,,Do not load to OLC,11-008-X19960022811,
primary133367,Sedative-hypnotic drug use in Canada,article82-003-s19910011985_12,,Do not load to OLC,82-003-S19910011985,
primary131726,Trends in Caesarean section deliveries in Canada,article82-003-s19910031999_12,,Do not load to OLC,82-003-S19910031999,
primary127749,City sprees tonature experiences,article87-003-x19910021934_12,,Do not load to OLC,87-003-X19910021934,
primary128014,Where tourism is important,article21-004-x19940002419_12,,Do not load to OLC,21-004-X19940002419,
primary123130,Travel within Canada,article11-008-x19880011353_12,,Do not load to OLC,11-008-X19880011353,
primary133222,Languages in Canada (Focus on Canada Series: Analytical Products: 1991 Census of Population),publication96-313-x_12,Discontinued/Not available,Do not load to OLC,96-313-X,
primary123081,Mortgage rates and the housing market,article11-008-x19860031324_12,,Do not load to OLC,11-008-X19860031324,
primary127924,Calibrating meter and diary data on television viewing,article87-004-x19990044944_12,,Do not load to OLC,87-004-X19990044944,
primary123176,Television viewing,article11-008-x19890021205_12,,Do not load to OLC,11-008-X19890021205,
primary123408,School leavers revisited,article11-008-x19960043005_12,,Do not load to OLC,11-008-X19960043005,
primary127724,"The case against the """"couch potato",article87-003-x19900022125_12,,Do not load to OLC,87-003-X19900022125,
primary129003,Tracing respondents: The example of the School Leavers Follow-up Survey,article81-003-x19950022336_12,,Do not load to OLC,81-003-X19950022336,
primary123144,A select few: Canada's Ph.D. population,article11-008-x19880031182_12,,Do not load to OLC,11-008-X19880031182,
primary123097,Part-time university enrolment,article11-008-x19870011330_12,,Do not load to OLC,11-008-X19870011330,
primary123192,University enrolment in the 1980's,article11-008-x19890033536_12,,Do not load to OLC,11-008-X19890033536,
primary123076,Community colleges: An alternative to universities,article11-008-x19860031319_12,,Do not load to OLC,11-008-X19860031319,
primary123187,University enrolment in the 1980s,article11-008-x19890031218_12,,Do not load to OLC,11-008-X19890031218,
primary131708,"Therapeutic abortions, Canada and the Provinces, 1989",article82-003-s19910021997_12,,Do not load to OLC,82-003-S19910021997,
primary128464,"Therapeutic abortions, Canada, 1970-1988",article82-003-s19900031972_12,,Do not load to OLC,82-003-S19900031972,
primary131762,"List of residential care facilities, 1990",article82-003-s19910032005_12,,Do not load to OLC,82-003-S19910032005,
primary131732,National health insurance and private psychiatry,article82-003-s19910032000_12,,Do not load to OLC,82-003-S19910032000,
primary133720,Older Canadians: A market of opportunity,article87-003-x19910041937_12,,Do not load to OLC,87-003-X19910041937,
primary127898,A close-up of culture/heritage travel in Canada,article87-004-x19980023894_12,,Do not load to OLC,87-004-X19980023894,
primary127779,Sports participation travel between Atlantic Canada and New England,article87-003-x19940021829_12,,Do not load to OLC,87-003-X19940021829,
primary123093,Legal aid in Canada,article11-008-x19870011326_12,,Do not load to OLC,11-008-X19870011326,
primary127602,SLID employment equity data,article75-201-x19940001722_12,,Do not load to OLC,75-201-X19940001722,
primary124846,Incomes of seniors,article75-001-x20000045413_12,,Do not load to OLC,75-001-X20000045413,
primary124992,Divergent Inequalities - Theory and Empirical Results,issue11f0019m1996066_12,Completed,Do not load to OLC,11F0019M1996066,
primary134755,"Tuberculosis Statistics, Morbidity and Mortality",publication82-212-x_12,Discontinued/Not available,Do not load to OLC,82-212-X,
primary123647,Recent trends in the construction industry,article11-010-x19920111567_12,,Do not load to OLC,11-010-X19920111567,
primary123808,Saving for retirement: self-employed vs. employees,article11-010-x19990084652_12,,Do not load to OLC,11-010-X19990084652,
primary127919,Consumption and participation in the culture sector,article87-004-x19990034865_12,,Do not load to OLC,87-004-X19990034865,
primary127892,A look behind the growth in Canadian book publishing exports,article87-004-x19980013782_12,,Do not load to OLC,87-004-X19980013782,
primary127856,New working group to be in tune with sound recording industry,article87-004-x19950012755_12,,Do not load to OLC,87-004-X19950012755,
primary129789,Population and Dwelling Counts - Urban Areas (Data Products: Population and Dwelling Counts: 1991 Census of Population),cens_tbtp93-305-x_12,Discontinued/Not available,,93-305-X,
primary123686,A profile of high income Ontarians,article11-010-x19940061586_12,,Do not load to OLC,11-010-X19940061586,
primary124800,Canada's commercial fishery: A statistical profile,article11-528-x19960013161_12,,Do not load to OLC,11-528-X19960013161,
primary127871,Attendance at movie theatres and drive-ins continues to grow,article87-004-x19960043114_12,,Do not load to OLC,87-004-X19960043114,
primary127884,Towards a framework for cultural statistics,article87-004-x19970033380_12,,Do not load to OLC,87-004-X19970033380,
primary123273,Children and elderly people: Sharing public income resources,article11-008-x19920011384_12,,Do not load to OLC,11-008-X19920011384,
primary127863,Government culture budget on the decline,article87-004-x19960012564_12,,Do not load to OLC,87-004-X19960012564,
primary122133,"Marriage, Divorce and Mortality: A Life Table Analysis for Canada and Regions, 1980-1982",publication84-536-x_12,Do not load to OLC,Do not load to OLC,84-536-X,
primary126650,List of Residential Care Facilities in Canada,publication83-221-x_12,Discontinued/Not available,Do not load to OLC,83-221-X,
primary126308,Tuberculosis Statistics,publication82-220-x_12,Discontinued/Not available,Do not load to OLC,82-220-X,
primary128396,Profile of Census Tracts in Lethbridge and Red Deer - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-380-x_12,Discontinued/Not available,,95-380-X,
primary128435,Profile of Census Divisions and Subdivisions in British Columbia - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-384-x_12,Discontinued/Not available,,95-384-X,
primary128400,Population and Dwelling Counts - Census Metropolitan Areas and Census Agglomerations (Data Products: Population and Dwelling Counts: 1991 Census of Population),cens_tbtp93-303-x_12,Discontinued/Not available,,93-303-X,
primary130605,Profile of Census Divisions and Subdivisions in Ontario (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-187-x_12,Discontinued/Not available,,95-187-X,
primary130603,Profile of Census Divisions and Subdivisions in Quebec (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-186-x_12,Discontinued/Not available,,95-186-X,
primary130597,Profile of Census Divisions and Subdivisions in Prince Edward Island (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-183-x_12,Discontinued/Not available,,95-183-X,
primary130599,Profile of Census Divisions and Subdivisions in Nova Scotia (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-184-x_12,Discontinued/Not available,,95-184-X,
primary130601,Profile of Census Divisions and Subdivisions in New Brunswick (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-185-x_12,Discontinued/Not available,,95-185-X,
primary130640,"Profile of Census Tracts in North Bay, Sault Ste.Marie, Sudbury and Thunder Bay (Data Products: Area Profiles: 1996 Census of Population)",cens_tbtp95-205-x_12,Discontinued/Not available,,95-205-X,
primary130637,"Profile of Census Tracts in Barrie, Belleville, Kingston, Oshawa and Peterborough (Data Products: Area Profiles: 1996 Census of Population)",cens_tbtp95-203-x_12,Discontinued/Not available,,95-203-X,
primary130642,Profile of Census Tracts in Toronto (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-206-x_12,Discontinued/Not available,,95-206-X,
primary130673,"Profile of Census Divisions and Subdivisions in Saskatchewan, 2001 Census",cens_tbtp95-222-x_12,Discontinued/Not available,,95-222-X,
primary130669,"Profile of Census Divisions and Subdivisions in Ontario, 2001 Census",cens_tbtp95-220-x_12,Discontinued/Not available,,95-220-X,
primary130671,"Profile of Census Divisions and Subdivisions in Manitoba, 2001 Census",cens_tbtp95-221-x_12,Discontinued/Not available,,95-221-X,
primary130697,"Profile of Census Tracts in Ottawa-Hull, 2001 Census",cens_tbtp95-234-x_12,Discontinued/Not available,,95-234-X,
primary130703,"Profile of Census Tracts in Barrie, Belleville, Kingston, Oshawa and Peterborough, 2001 Census",cens_tbtp95-237-x_12,Discontinued/Not available,,95-237-X,
primary130699,"Profile of Census Tracts in Brantford, Guelph, Kitchener and St. Catharines-Niagara, 2001 Census",cens_tbtp95-235-x_12,Discontinued/Not available,,95-235-X,
primary130705,"Profile of Census Tracts in London, Sarnia and Windsor, 2001 Census",cens_tbtp95-238-x_12,Discontinued/Not available,,95-238-X,
primary130701,"Profile of Census Tracts in Hamilton, 2001 Census",cens_tbtp95-236-x_12,Discontinued/Not available,,95-236-X,
primary130732,Profile of Census Tracts in St. John's - Part B  (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-304-x_12,Discontinued/Not available,,95-304-X,
primary130739,Profile of Census Divisions and Subdivisions in Prince Edward Island - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-308-x_12,Discontinued/Not available,,95-308-X,
primary130741,Profile of Census Divisions and Subdivisions in Prince Edward Island - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-309-x_12,Discontinued/Not available,,95-309-X,
primary130730,Profile of Census Tracts in St. John's - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-303-x_12,Discontinued/Not available,,95-303-X,
primary136478,Ontario. Part 1,cens_tbtp94-111-x_12,Discontinued/Not available,,94-111-X,
primary128332,Profile of Census Tracts in Winnipeg - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-361-x_12,Discontinued/Not available,,95-361-X,
primary128330,Profile of Census Tracts in Winnipeg - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-360-x_12,Discontinued/Not available,,95-360-X,
primary128348,Profile of Census Divisions and Subdivisions in Saskatchewan - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-366-x_12,Discontinued/Not available,,95-366-X,
primary128323,Profile of Census Divisions and Subdivisions in Manitoba - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-359-x_12,Discontinued/Not available,,95-359-X,
primary130761,Profile of Census Divisions and Subdivisions in New Brunswick - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-320-x_12,Discontinued/Not available,,95-320-X,
primary130763,Profile of Census Tracts in Moncton and Saint John - Part A  (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-321-x_12,Discontinued/Not available,,95-321-X,
primary130019,Selected Income Statistics (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-331-x_12,Discontinued/Not available,,93-331-X,
primary130022,Mother Tongue - 20% Sample Data (Data Products: Nation Series: 1991 Census of Population),cens_tbtp93-333-x_12,Discontinued/Not available,,93-333-X,
primary126044,"National Income and Expenditure Accounts, Annual Estimates",publication13-201-x_12,Discontinued/Not available,Do not load to OLC,13-201-X,
primary123508,Profile of Census Tracts in Regina and Saskatoon - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-368-x_12,Discontinued/Not available,,95-368-X,
primary130032,"Profile of Urban and Rural Areas, Canada, Provinces and Territories - Part A (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp93-339-x_12,Discontinued/Not available,,93-339-X,
primary130033,"Profile of Urban and Rural Areas, Canada, Provinces and Territories - Part B (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp93-340-x_12,Discontinued/Not available,,93-340-X,
primary130595,Profile of Census Divisions and Subdivisions in Newfoundland (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-182-x_12,Discontinued/Not available,,95-182-X,
primary130030,Profile of Census Metropolitan Areas and Census Agglomerations - Part B (Area PrProfile of Census Metropolitan Areas and Census Agglomerations - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp93-338-x_12,Discontinued/Not available,,93-338-X,
primary130633,"Profile of Census Tracts in Brantford, Guelph, Kitchener and St.Catharines - Niagara (Data Products: Area Profiles: 1996 Census of Population)",cens_tbtp95-201-x_12,Discontinued/Not available,,95-201-X,
primary130631,Profile of Census Tracts in Ottawa - Hull (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-200-x_12,Discontinued/Not available,,95-200-X,
primary130635,Profile of Census Tracts in Hamilton (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-202-x_12,Discontinued/Not available,,95-202-X,
primary130653,"Profile of Census Tracts in Kamloops, Kelowna and Prince George (Data Products: Area Profiles: 1996 Census of Population)",cens_tbtp95-212-x_12,Discontinued/Not available,,95-212-X,
primary130655,Profile of Census Tracts in Abbotsford and Vancouver (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-213-x_12,Discontinued/Not available,,95-213-X,
primary130657,Profile of Census Tracts in Nanaimo and Victoria (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-214-x_12,Discontinued/Not available,,95-214-X,
primary130659,"Profile of Census Divisions and Subdivisions in Newfoundland and Labrador, 2001 Census",cens_tbtp95-215-x_12,Discontinued/Not available,,95-215-X,
primary130681,"Profile of Census Divisions and Subdivisions in the Northwest Territories, 2001 Census",cens_tbtp95-226-x_12,Discontinued/Not available,,95-226-X,
primary130683,"Profile of Census Divisions and Subdivisions in Nunavut, 2001 Census",cens_tbtp95-227-x_12,Discontinued/Not available,,95-227-X,
primary130687,"Profile of Census Tracts in Halifax, 2001 Census",cens_tbtp95-229-x_12,Discontinued/Not available,,95-229-X,
primary130685,"Profile of Census Tracts in St. John's, 2001 Census",cens_tbtp95-228-x_12,Discontinued/Not available,,95-228-X,
primary130718,"Profile of Census Tracts in Lethbridge, Medicine Hat and Red Deer, 2001 Census",cens_tbtp95-245-x_12,Discontinued/Not available,,95-245-X,
primary130720,"Profile of Census Tracts in Kamloops, Kelowna and Prince George, 2001 Census",cens_tbtp95-246-x_12,Discontinued/Not available,,95-246-X,
primary130716,"Profile of Census Tracts in Edmonton, 2001 Census",cens_tbtp95-244-x_12,Discontinued/Not available,,95-244-X,
primary130714,"Profile of Census Tracts in Calgary, 2001 Census",cens_tbtp95-243-x_12,Discontinued/Not available,,95-243-X,
primary130759,Profile of Census Divisions and Subdivisions in New Brunswick - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-319-x_12,Discontinued/Not available,,95-319-X,
primary133950,Families in Canada,cens_tbtp96-307-x_12,Discontinued/Not available,,96-307-X,
primary130776,"Profile of Census Tracts in Chicoutimi - Jonquière, Sherbrooke and Trois-Rivières - Part A (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-327-x_12,Discontinued/Not available,,95-327-X,
primary130774,Profile of Census Divisions and Subdivisions in Quebec - Part B (Area Profile Series: Data Products: 19Profile of Census Divisions and Subdivisions in Quebec - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-326-x_12,Discontinued/Not available,,95-326-X,
primary131418,Saskatchewan. Part 1,cens_tbtp94-115-x_12,Discontinued/Not available,,94-115-X,
primary131411,Manitoba. Part 2,cens_tbtp94-114-x_12,Discontinued/Not available,,94-114-X,
primary126362,"Therapeutic Abortions, Canada",publication82-546-x_12,Discontinued/Not available,Do not load to OLC,82-546-X,
primary124837,"Profile of Census Tracts in London, Sarnia and Windsor (Data Products: Area Profiles: 1996 Census of Population)",cens_tbtp95-204-x_12,Discontinued/Not available,,95-204-X,
primary128394,Profile of Census Tracts in Edmonton - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-378-x_12,Discontinued/Not available,,95-378-X,
primary124403,Profile of Census Tracts in Calgary - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-374-x_12,Discontinued/Not available,,95-374-X,
primary125237,Profile of Census Divisions and Subdivisions in Alberta - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-372-x_12,Discontinued/Not available,,95-372-X,
primary128456,Profile of Census Tracts in Matsqui and Vancouver - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-389-x_12,Discontinued/Not available,,95-389-X,
primary128462,Profile of Census Tracts in Victoria - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-392-x_12,Discontinued/Not available,,95-392-X,
primary128458,Profile of Census Tracts in Victoria - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-391-x_12,Discontinued/Not available,,95-391-X,
primary130024,Profile of Federal Electoral Districts - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp93-335-x_12,Discontinued/Not available,,93-335-X,
primary130028,Profile of Census Metropolitan Areas and Census Agglomerations - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp93-337-x_12,Discontinued/Not available,,93-337-X,
primary130026,Profile of Federal Electoral Districts - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp93-336-x_12,Discontinued/Not available,,93-336-X,
primary130625,"Profile of Census Tracts in Chicoutimi - Jonquière, Sherbrooke, Saint-Jean-sur-Richelieu and Trois-Rivières (Data Products: Area Profiles: 1996 Census of Population)",cens_tbtp95-197-x_12,Discontinued/Not available,,95-197-X,
primary130623,Profile of Census Tracts in Moncton and Saint John (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-196-x_12,Discontinued/Not available,,95-196-X,
primary130629,Profile of Census Tracts in Montréal (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-199-x_12,Discontinued/Not available,,95-199-X,
primary130627,Profile of Census Tracts in Québec (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-198-x_12,Discontinued/Not available,,95-198-X,
primary130621,Profile of Census Tracts in Halifax (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-195-x_12,Discontinued/Not available,,95-195-X,
primary130617,Profile of Census Divisions and Subdivisions in Northwest Territories (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-193-x_12,Discontinued/Not available,,95-193-X,
primary130661,"Profile of Census Divisions and Subdivisions in Prince Edward Island, 2001 Census",cens_tbtp95-216-x_12,Discontinued/Not available,,95-216-X,
primary130663,"Profile of Census Divisions and Subdivisions in Nova Scotia, 2001 Census",cens_tbtp95-217-x_12,Discontinued/Not available,,95-217-X,
primary130665,"Profile of Census Divisions and Subdivisions in New Brunswick, 2001 Census",cens_tbtp95-218-x_12,Discontinued/Not available,,95-218-X,
primary130667,"Profile of Census Divisions and Subdivisions in Quebec, 2001 Census",cens_tbtp95-219-x_12,Discontinued/Not available,,95-219-X,
primary130691,"Profile of Census Tracts in Chicoutimi-Jonquière, Drummondville, Granby, Saint-Jean-sur-Richelieu, Sherbrooke and Trois-Rivières, 2001 Census",cens_tbtp95-231-x_12,Discontinued/Not available,,95-231-X,
primary130689,"Profile of Census Tracts in Moncton and Saint John, 2001 Census",cens_tbtp95-230-x_12,Discontinued/Not available,,95-230-X,
primary130695,"Profile of Census Tracts in Montréal, 2001 Census",cens_tbtp95-233-x_12,Discontinued/Not available,,95-233-X,
primary130693,"Profile of Census Tracts in Québec, 2001 Census",cens_tbtp95-232-x_12,Discontinued/Not available,,95-232-X,
primary130728,Profile of Census Divisions and Subdivisions in Newfoundland - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-302-x_12,Discontinued/Not available,,95-302-X,
primary130726,Profile of Census Divisions and Subdivisions in Newfoundland - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-301-x_12,Discontinued/Not available,,95-301-X,
primary130722,"Profile of Census Tracts in Abbotsford and Vancouver, 2001 Census",cens_tbtp95-247-x_12,Discontinued/Not available,,95-247-X,
primary130724,"Profile of Census Tracts in Nanaimo and Victoria, 2001 Census",cens_tbtp95-248-x_12,Discontinued/Not available,,95-248-X,
primary128298,Profile of Census Tracts in Ottawa - Hull - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-351-x_12,Discontinued/Not available,,95-351-X,
primary128306,Profile of Census Tracts in Toronto - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-354-x_12,Discontinued/Not available,,95-354-X,
primary128302,Profile of Census Tracts in Toronto - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-353-x_12,Discontinued/Not available,,95-353-X,
primary128320,Profile of Census Divisions and Subdivisions in Manitoba - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-358-x_12,Discontinued/Not available,,95-358-X,
primary131874,Profile of Census Divisions and Subdivisions in Yukon - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-396-x_12,Discontinued/Not available,,95-396-X,
primary132859,Profile of Census Divisions and Subdivisions in Yukon - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-395-x_12,Discontinued/Not available,,95-395-X,
primary131422,Saskatchewan. Part 2,cens_tbtp94-116-x_12,Discontinued/Not available,,94-116-X,
primary122130,Profile of Census Tracts in Lethbridge and Red Deer - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-381-x_12,Discontinued/Not available,,95-381-X,
primary128454,Profile of Census Tracts in Matsqui and Vancouver - Part A (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-388-x_12,Discontinued/Not available,,95-388-X,
primary128450,"Profile of Census Tracts in Kamloops, Kelowna and Prince George - Part B (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-387-x_12,Discontinued/Not available,,95-387-X,
primary128440,"Profile of Census Tracts in Kamloops, Kelowna and Prince George - Part A (Area Profile Series: Data Products: 1991 Census of Population)",cens_tbtp95-386-x_12,Discontinued/Not available,,95-386-X,
primary128437,Profile of Census Divisions and Subdivisions in British Columbia - Part B (Area Profile Series: Data Products: 1991 Census of Population),cens_tbtp95-385-x_12,Discontinued/Not available,,95-385-X,
primary130611,Profile of Census Divisions and Subdivisions in Alberta (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-190-x_12,Discontinued/Not available,,95-190-X,
primary130607,Profile of Census Divisions and Subdivisions in Manitoba (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-188-x_12,Discontinued/Not available,,95-188-X,
primary130609,Profile of Census Divisions and Subdivisions in Saskatchewan (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-189-x_12,Discontinued/Not available,,95-189-X,
primary130615,Profile of Census Divisions and Subdivisions in Yukon Territory (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-192-x_12,Discontinued/Not available,,95-192-X,
primary130613,Profile of Census Divisions and Subdivisions in British Columbia (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-191-x_12,Discontinued/Not available,,95-191-X,
primary130651,Profile of Census Tracts in Lethbridge and Red Deer (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-211-x_12,Discontinued/Not available,,95-211-X,
primary130645,Profile of Census Tracts in Regina and Saskatoon (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-208-x_12,Discontinued/Not available,,95-208-X,
primary130649,Profile of Census Tracts in Edmonton (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-210-x_12,Discontinued/Not available,,95-210-X,
primary130644,Profile of Census Tracts in Winnipeg (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-207-x_12,Discontinued/Not available,,95-207-X,
primary130647,Profile of Census Tracts in Calgary (Data Products: Area Profiles: 1996 Census of Population),cens_tbtp95-209-x_12,Discontinued/Not available,,95-209-X,
primary130677,"Profile of Census Divisions and Subdivisions in British Columbia, 2001 Census",cens_tbtp95-224-x_12,Discontinued/Not available,,95-224-X,
primary130679,"Profile of Census Divisions and Subdivisions in the Yukon Territory, 2001 Census",cens_tbtp95-225-x_12,Discontinued/Not available,,95-225-X,
